"Term","Coefficient","Type","Knots"
"Intercept",2.10523221303638,"linear","none"
"PatientAge",-0.0506271068499233,"RCS0","none"
"PatientAge'",0.0830273647051724,"RCS1","5 30 58"
"FeverTemperature",-0.0527409907644392,"RCS0","none"
"FeverTemperature'",0.527288693390182,"RCS1","36.3 37.2 39.3"
"Jaundice",1.315041043869,"linear","none"
"Bleeding",1.09550292610961,"linear","none"
"Breathlessness",0.116417075729052,"linear","none"
"AstheniaWeakness",0.293612875857968,"linear","none"
"Diarrhoea",0.213751321769801,"linear","none"
"Confusion",0.778261959922246,"linear","none"
