"Term","Coefficient","Type","Knots"
"Intercept",7.88330360925951,"linear","none"
"PatientAge",-0.0517477661913083,"RCS0","none"
"PatientAge'",0.0965674832159734,"RCS1","5 30 58"
"cycletime",-0.156292611275485,"linear","none"
"FeverTemperature",-0.102555344700806,"RCS0","none"
"FeverTemperature'",0.529777898961572,"RCS1","36.3 37.3 39.2"
"Jaundice",1.39174810489008,"linear","none"
"Bleeding",0.982979708826723,"linear","none"
"Breathlessness",0.107532263684479,"linear","none"
"AstheniaWeakness",0.11485314025731,"linear","none"
"Confusion",0.635544126091967,"linear","none"
