"Term","Coefficient","Type","Knots"
"Intercept",0.793423340694569,"linear","none"
"PatientAge",-0.0596320744965639,"RCS0","none"
"PatientAge'",0.104368384111782,"RCS1","5 30 58"
"cycletime",-0.694490051656294,"linear","none"
"Jaundice",1.31695854666441,"linear","none"
"Bleeding",0.929701838697012,"linear","none"
"Breathlessness",0.167712052806154,"linear","none"
"SwallowingProblems",0.0882750327011748,"linear","none"
"reftime",-0.00235469526311129,"linear","none"
"cycletime * reftime",-0.0410400292040578,"product","none"
