"Term","Coefficient","Type","Knots"
"Intercept",-2.5352708809631,"linear","none"
"PatientAge",-0.052517958823124,"RCS0","none"
"PatientAge'",0.0849494151661827,"RCS1","5 30 58"
"FeverTemperature",0.0721188205081421,"RCS0","none"
"FeverTemperature'",0.313442142420204,"RCS1","36.3 37.4 39.4"
"Jaundice",1.28841012242765,"linear","none"
"Bleeding",1.12887333552199,"linear","none"
"Throat",0.185938531278095,"linear","none"
"ChestPain",0.317458317226247,"linear","none"
"AstheniaWeakness",0.213747434658303,"linear","none"
"Diarrhoea",0.136757543373526,"linear","none"
"Confusion",0.700154643063104,"linear","none"
