"Term","Coefficient","Type","Knots"
"Intercept",9.86514348446123,"linear","none"
"PatientAge",-0.0449469166035319,"RCS0","none"
"PatientAge'",0.0903659340407812,"RCS1","5 30 58"
"DaysSinceSymptomFeverOnset",0.0210382544839801,"linear","none"
"cycletime",-0.149371811457234,"linear","none"
"malaria1",0.294191020677565,"linear","none"
"FeverTemperature",-0.165236823053598,"RCS0","none"
"FeverTemperature'",0.568265449852161,"RCS1",""
"Jaundice",1.33031240673828,"linear","none"
"Bleeding",0.962694946919499,"linear","none"
"Breathlessness",0.124002430079846,"linear","none"
"AstheniaWeakness",0.125053978125148,"linear","none"
"Confusion",0.56788302003669,"linear","none"
"DaysSinceSymptomFeverOnset * cycletime",-0.001038819038954,"linear","none"
