"Term","Coefficient","Type","Knots"
"Intercept",12.972398814621,"linear","none"
"PatientAge",-0.0489179734454862,"RCS0","none"
"PatientAge'",0.0954155478962592,"RCS1","5 30 58"
"PatientSex",0.271162721230381,"linear","none"
"Fever",-0.0239084242007072,"linear","none"
"FeverNoDays",0.120766347931588,"linear","none"
"DaysSinceSymptomOnset",0.231434064354728,"linear","none"
"DaysSinceSymptomFeverOnset",-0.262847627772515,"linear","none"
"FeverTemperature",-0.230900999572348,"RCS0","none"
"FeverTemperature'",0.813240706239185,"RCS1","36.29 37.2 39.11"
"Headache",-0.102634518523494,"linear","none"
"Nausea",0.408555488130219,"linear","none"
"Vomit",-0.513970415818608,"linear","none"
"BloodyVomit",2.79225353166495,"linear","none"
"Diarrhoea",-0.103445204707964,"linear","none"
"Anorexia",0.166265019535827,"linear","none"
"Cough",-0.174306015919674,"linear","none"
"ChestPain",0.193584819756661,"linear","none"
"HaemorrhagicEyes",-0.901487566801724,"linear","none"
"OtherHaemorrhage",2.72854187058875,"linear","none"
"Breathlessness",0.271227130552004,"linear","none"
"LossAppetite",-0.574878178189204,"linear","none"
"AstheniaWeakness",0.396276357836317,"linear","none"
"AbdominalPain",-0.114814593783332,"linear","none"
"Jaundice",1.14448437298287,"linear","none"
"Throat",0.153173181072096,"linear","none"
"SwallowingProblems",0.254067514207905,"linear","none"
"Rash",-0.0900991571303276,"linear","none"
"Hiccups",-0.293182094788619,"linear","none"
"Photophobia",-0.0509241160916679,"linear","none"
"Confusion",0.198908110849712,"linear","none"
"Bleeding",-1.60364967179944,"linear","none"
"BoneMuscleJointPain",0.0583154177162295,"linear","none"
"malaria1",0.175883758101267,"linear","none"
"cycletime",-0.170616083164661,"linear","none"
